,mes ,ano,vale_adr,iron_ore,DJA,IBOV,1lag_iron_ore,1lag_dja,ln_vale_adr
1,2,2009,9.458601,75.59,2434.719971,38183,4.283711945849258,7.9368459921382355,2.2469244862925035
2,3,2009,9.759454,64.0727272727273,2587.23999,40926,4.325323999304086,7.797587027260784,2.2782364562372033
3,4,2009,12.284701,59.7818181818182,2814.300049,47290,4.1600188018235995,7.85834694556795,2.5083546670526147
4,5,2009,14.249063,62.6904761904762,2898.620117,53198,4.0907015709436,7.942468859211094,2.6566911501667803
5,6,2009,13.118068,71.6590909090909,2925.47998,51465,4.138209541212941,7.971990081011349,2.5739905165751384
6,7,2009,14.680625,83.9521739130435,3162.449951,54766,4.2719200256268,7.981213841930222,2.686528597211963
7,8,2009,14.293707,97.6666666666667,3248.860107,56489,4.430247278519343,8.059102307139796,2.6598193704766024
8,9,2009,17.210489,80.7136363636364,3327.870117,61518,4.581560320348958,8.086059477493727,2.8455190235327437
9,10,2009,19.129721,86.7863636363636,3256.050049,61546,4.390907537006473,8.110087773835762,2.9512431989234345
10,11,2009,21.516243,99.2571428571429,3478.719971,67044,4.463449508361102,8.08827009831879,3.0688081382680235
11,12,2009,21.786419,105.247826086957,3566.679932,68588,4.597713885311637,8.154419680679236,3.081286794009966
12,1,2010,19.354864,125.914285714286,3417.080078,65402,4.6563178175934254,8.179390451027308,2.962943757396813
13,2,2010,20.908356,127.615,3504.679932,66503,4.835601403352576,8.136541687017749,3.0401488876810387
14,3,2010,24.157932,139.769565217391,3679.02002,70372,4.849017918860593,8.161854477752627,3.1846127733765752
15,4,2010,23.140425,172.468181818182,3794.610107,67530,4.939995103791476,8.210401696786082,3.141581088061865
16,5,2010,20.548273,161.347619047619,3509.399902,63047,5.150212766229895,8.241336945948333,3.0227768984813346
17,6,2010,18.402002,143.631818181818,3357.540039,60936,5.083561161944216,8.163200333752034,2.9124594630440024
18,7,2010,21.009266,126.363636363636,3631.610107,67515,4.967253207152289,8.118963853568284,3.044963578501758
19,8,2010,20.215752,145.340909090909,3482.290039,65145,4.839163753326364,8.197431384564553,3.006462102499764
20,9,2010,23.631647,140.627272727273,3735.800049,69430,4.979082080094681,8.15544541352774,3.1625867883044068
21,10,2010,24.537048,148.480952380952,3863.639893,70673,4.94611293444425,8.225717277841536,3.2001841386484013
22,11,2010,24.185863,160.55,3845.26001,67705,5.000456683220929,8.259364995596073,3.1857682889130707
23,12,2010,26.392218,168.526086956522,4033.189941,69305,5.078605420535523,8.254596502540286,3.273069193970978
24,1,2011,26.731087,179.63,4077.469971,66575,5.127090556542301,8.30231289046656,3.2858271952424354
25,2,2011,26.270605,187.18,4163.22998,67383,5.190899179780744,8.313231969906433,3.268450633504586
26,3,2011,25.595224,169.35652173913,4228.419922,68587,5.23207072072911,8.334046489483649,3.242405771580569
27,4,2011,25.940336,179.261111111111,4397.049805,66133,5.132006088939339,8.3495836613582,3.2557991317727972
28,5,2011,25.054939,177.095,4354.839844,64620,5.1888434642315,8.388689096157824,3.221070973764941
29,6,2011,24.814186,170.877272727273,4309.560059,62404,5.176686311753311,8.37904311340946,3.2114155057611042
30,7,2011,25.194746,172.97619047619,4199.240234,58823,5.140945595481035,8.368591103409882,3.2266354807163937
31,8,2011,22.410761,177.45,3986.75,56495,5.153153957721012,8.342658891241017,3.109541245290714
32,9,2011,18.093672,177.227272727273,3742.600098,52324,5.178688879092506,8.290731641628081,2.8955622638831477
33,10,2011,20.187408,150.433333333333,4128.75,58338,5.177432935624283,8.227535862228693,3.0050590436969493
34,11,2011,18.471359,135.540909090909,4155.810059,56875,5.013520018164844,8.325729976704999,2.9162213702807573
35,12,2011,17.041321,136.455,4232.169922,56754,4.909273506863495,8.332262648335442,2.835641041870559
36,1,2012,20.100016,140.347619047619,4355.240234,63072,4.915994889942135,8.3504701244334,3.000720611084614
37,2,2012,19.972902,140.395238095238,4375.689941,65812,4.944122338272252,8.37913505056657,2.994376454847055
38,3,2012,18.534916,144.663636363636,4460.529785,64511,4.944461574315943,8.38381948715825,2.9196563046258763
39,4,2012,18.064768,147.647368421053,4474.870117,61820,4.974411298417765,8.403022823834066,2.893963522003991
40,5,2012,14.899364,136.272727272727,4283.569824,54490,4.994826784943073,8.406232606153669,2.7013185274766434
41,6,2012,16.152508,134.621052631579,4427.419922,54355,4.914658225304225,8.362542011959933,2.7820753317294296
42,7,2012,14.687795,127.936363636364,4442.240234,56097,4.90246381383278,8.395572282988626,2.6870168768090577
43,8,2012,13.320732,107.795454545455,4393.459961,57061,4.851532981204154,8.39891408538729,2.58932161855723
44,9,2012,14.565737,99.47,4441.700195,59176,4.6802354919593245,8.38787234165891,2.678671989886458
45,10,2012,15.157709,113.947826086957,4432.919922,57068,4.599856091164322,8.398792508930315,2.718509247422209
46,11,2012,14.421338,120.345454545455,4383.47998,57475,4.735740677729605,8.396813770516928,2.6687089153470116
47,12,2012,17.342009,128.873684210526,4442.069824,60952,4.790366394886456,8.385598203891485,2.853131823926118
48,1,2013,16.688375,150.490909090909,4736.529785,59761,4.858832732473372,8.398875723376305,2.814712369242759
49,2,2013,15.712058,154.638888888889,4829.209961,57424,5.013902677652925,8.463060033694424,2.7544284430513253
50,3,2013,14.305504,139.87,5036.939941,56352,5.041092649727399,8.482438164116587,2.660644358317637
51,4,2013,14.2056,137.390909090909,5115.720215,55910,4.940713419791213,8.52455402210895,2.653636253062488
52,5,2013,11.969611,124.009523809524,5093.149902,53506,4.922830213777703,8.540073472970283,2.482371021130368
53,6,2013,10.930583,114.815,5034.660156,47457,4.820358367571206,8.535651759398647,2.391564640198704
54,7,2013,11.40438,127.191304347826,5242.640137,48234,4.743322137370834,8.524101306548964,2.4339974921368013
55,8,2013,11.977923,137.055,5021.609863,50008,4.845692286523837,8.564580493367785,2.4830652053694457
56,9,2013,12.97539,134.19,5166.609863,52338,4.920382305118694,8.521505851116416,2.563054486403694
57,10,2013,13.359801,132.57,5363.459961,54256,4.899256706112866,8.549972019920727,2.592250272787984
58,11,2013,12.776039,136.32,5504.910156,52482,4.887110807810759,8.587364560921525,2.5475714635066744
59,12,2013,12.717664,135.79,5641.549805,51507,4.915005063081005,8.613395728587633,2.542991893247912
60,1,2014,11.341654,128.12,5473.959961,47639,4.911109574710704,8.637914094865332,2.4284821430429333
61,2,2014,11.817001,121.37,5626.950195,47094,4.852967324740957,8.607757575178551,2.4695392572807218
62,3,2014,11.533461,111.83,5725.850098,50415,4.798843731118271,8.635322868318935,2.4452524626984657
63,4,2014,11.335646,114.58,5806.310059,51627,4.716979861040097,8.652746306132704,2.4279522739544115
64,5,2014,10.932637,100.56,5915.810059,51239,4.741273268980431,8.666700546362257,2.391752535669366
65,6,2014,11.344218,92.74,6009.939941,53168,4.610754564281992,8.685383716993432,2.428708186812458
66,7,2014,12.304577,96.05,5883.759766,55829,4.529799878963315,8.701170034301285,2.5099713069823326
67,8,2014,11.198451,92.61,6087.390137,61288,4.564868889214566,8.679951252539766,2.4157754651647996
68,9,2014,9.440654,82.38,6063.439941,54116,4.528397127182178,8.713974719917928,2.2450252574187015
