,statenum,year,disease,m_rate,p_urb,lnm_rate
0,Alabama,1926.0,1,,25.54,
1,Alabama,1926.0,2,,25.54,
2,Alabama,1926.0,3,,25.54,
3,Alabama,1926.0,4,,25.54,
4,Alabama,1926.0,5,,25.54,
5,Alabama,1926.0,6,,25.54,
6,Alabama,1926.0,7,,25.54,
7,Alabama,1927.0,1,800.0,26.18,6.684612
8,Alabama,1927.0,2,0.0009750371,26.18,-6.933035
9,Alabama,1927.0,3,8.995529e-06,26.18,-11.618783
10,Alabama,1927.0,4,0.0008682641,26.18,-7.0490146
11,Alabama,1927.0,5,8.369753e-05,26.18,-9.388301
12,Alabama,1927.0,6,0.0005033585,26.18,-7.594208
13,Alabama,1927.0,7,0.0011150545,26.18,-6.798852
14,Alabama,1928.0,1,939.99994,26.82,6.84588
15,Alabama,1928.0,2,0.0016705113,26.82,-6.3946257
16,Alabama,1928.0,3,5.025838e-06,26.82,-12.200918
17,Alabama,1928.0,4,0.000901558,26.82,-7.011386
18,Alabama,1928.0,5,9.8197146e-05,26.82,-9.228534
19,Alabama,1928.0,6,0.0005157283,26.82,-7.5699306
20,Alabama,1928.0,7,0.0014184462,26.82,-6.558193
21,Alabama,1929.0,1,989.99994,27.460001,6.897705
22,Alabama,1929.0,2,0.002041705,27.460001,-6.19397
23,Alabama,1929.0,3,1.4141349e-05,27.460001,-11.166408
24,Alabama,1929.0,4,0.0008591825,27.460001,-7.0595293
25,Alabama,1929.0,5,9.249207e-05,27.460001,-9.288387
26,Alabama,1929.0,6,0.00051176397,27.460001,-7.577647
27,Alabama,1929.0,7,0.0014252187,27.460001,-6.55343
28,Alabama,1930.0,1,900.0,28.1,6.802395
29,Alabama,1930.0,2,0.0012126603,28.1,-6.7149386
30,Alabama,1930.0,3,1.3604167e-05,28.1,-11.205134
31,Alabama,1930.0,4,0.000858952,28.1,-7.0597973
32,Alabama,1930.0,5,9.107234e-05,28.1,-9.303857
33,Alabama,1930.0,6,0.0005381204,28.1,-7.527428
34,Alabama,1930.0,7,0.0014016071,28.1,-6.5701356
35,Alabama,1931.0,1,810.00006,28.310001,6.6970344
36,Alabama,1931.0,2,0.0012308065,28.310001,-6.7000856
37,Alabama,1931.0,3,1.1257376e-05,28.310001,-11.394487
38,Alabama,1931.0,4,0.00087319716,28.310001,-7.0433493
39,Alabama,1931.0,5,0.00010994704,28.310001,-9.115512
40,Alabama,1931.0,6,0.00054523227,28.310001,-7.514299
41,Alabama,1931.0,7,0.001227054,28.310001,-6.703139
42,Alabama,1932.0,1,760.0,28.52,6.6333184
43,Alabama,1932.0,2,0.0011503245,28.52,-6.767711
44,Alabama,1932.0,3,1.3042228e-05,28.52,-11.247318
45,Alabama,1932.0,4,0.000790359,28.52,-7.1430235
46,Alabama,1932.0,5,0.00010955471,28.52,-9.119086
47,Alabama,1932.0,6,0.0005705043,28.52,-7.46899
48,Alabama,1932.0,7,0.0012367758,28.52,-6.6952477
49,Alabama,1933.0,1,750.0,28.73,6.6200733
50,Alabama,1933.0,2,0.0009532755,28.73,-6.9556065
51,Alabama,1933.0,3,7.7712675e-06,28.73,-11.765078
52,Alabama,1933.0,4,0.0007168069,28.73,-7.240704
53,Alabama,1933.0,5,0.0001017666,28.73,-9.192828
54,Alabama,1933.0,6,0.00058506546,28.73,-7.4437866
55,Alabama,1933.0,7,0.0013103838,28.73,-6.6374354
56,Alabama,1934.0,1,640.0,28.94,6.461468
57,Alabama,1934.0,2,0.0011146911,28.94,-6.799178
58,Alabama,1934.0,3,6.6153775e-06,28.94,-11.926114
59,Alabama,1934.0,4,0.00064977707,28.94,-7.338881
60,Alabama,1934.0,5,0.00011282894,28.94,-9.089638
61,Alabama,1934.0,6,0.0005817857,28.94,-7.4494085
62,Alabama,1934.0,7,0.0015086737,28.94,-6.4965243
63,Alabama,1935.0,1,620.0,29.150002,6.4297194
